Spot index;x;y
1633299;5884.734375;-29124.533203125
1633300;5904.734375;-29124.533203125
1633301;5924.734375;-29124.533203125
1633302;5944.734375;-29124.533203125
1633303;5964.734375;-29124.533203125
1633304;5984.734375;-29124.533203125
1633305;6004.734375;-29124.533203125
1633306;6024.734375;-29124.533203125
1633307;5224.734375;-29144.533203125
1633308;5244.734375;-29144.533203125
1633309;5264.734375;-29144.533203125
1633310;5284.734375;-29144.533203125
1633311;5304.734375;-29144.533203125
1633312;5324.734375;-29144.533203125
1633313;5344.734375;-29144.533203125
1633314;5364.734375;-29144.533203125
1633315;5384.734375;-29144.533203125
1633316;5404.734375;-29144.533203125
1633317;5424.734375;-29144.533203125
1633318;5444.734375;-29144.533203125
1633319;5464.734375;-29144.533203125
1633320;5484.734375;-29144.533203125
1633321;5504.734375;-29144.533203125
1633322;5524.734375;-29144.533203125
1633323;5544.734375;-29144.533203125
1633324;5564.734375;-29144.533203125
1633325;5584.734375;-29144.533203125
1633326;5604.734375;-29144.533203125
1633327;5624.734375;-29144.533203125
1633328;5644.734375;-29144.533203125
1633329;5664.734375;-29144.533203125
1633330;5684.734375;-29144.533203125
1633331;5704.734375;-29144.533203125
1633332;5724.734375;-29144.533203125
1633333;5744.734375;-29144.533203125
1633334;5764.734375;-29144.533203125
1633335;5784.734375;-29144.533203125
1633336;5804.734375;-29144.533203125
1633337;5824.734375;-29144.533203125
1633338;5844.734375;-29144.533203125
1633339;5864.734375;-29144.533203125
1633340;5884.734375;-29144.533203125
1633341;5904.734375;-29144.533203125
1633342;5924.734375;-29144.533203125
1633343;5944.734375;-29144.533203125
1633344;5964.734375;-29144.533203125
1633345;5984.734375;-29144.533203125
1633346;6004.734375;-29144.533203125
1633347;6024.734375;-29144.533203125
1633348;6044.734375;-29144.533203125
1633349;4144.734375;-29164.533203125
1633350;4164.734375;-29164.533203125
1633351;4184.734375;-29164.533203125
1633352;4204.734375;-29164.533203125
1633353;4224.734375;-29164.533203125
1633354;4244.734375;-29164.533203125
1633355;4264.734375;-29164.533203125
1633356;4284.734375;-29164.533203125
1633357;4304.734375;-29164.533203125
1633358;4324.734375;-29164.533203125
1633359;4344.734375;-29164.533203125
1633360;4364.734375;-29164.533203125
1633361;4384.734375;-29164.533203125
1633362;4404.734375;-29164.533203125
1633363;4424.734375;-29164.533203125
1633364;4444.734375;-29164.533203125
1633365;4464.734375;-29164.533203125
1633366;5184.734375;-29164.533203125
1633367;5204.734375;-29164.533203125
1633368;5224.734375;-29164.533203125
1633369;5244.734375;-29164.533203125
1633370;5264.734375;-29164.533203125
1633371;5284.734375;-29164.533203125
1633372;5304.734375;-29164.533203125
1633373;5324.734375;-29164.533203125
1633374;5344.734375;-29164.533203125
1633375;5364.734375;-29164.533203125
1633376;5384.734375;-29164.533203125
1633377;5404.734375;-29164.533203125
1633378;5424.734375;-29164.533203125
1633379;5444.734375;-29164.533203125
1633380;5464.734375;-29164.533203125
1633381;5484.734375;-29164.533203125
1633382;5504.734375;-29164.533203125
1633383;5524.734375;-29164.533203125
1633384;5544.734375;-29164.533203125
1633385;5564.734375;-29164.533203125
1633386;5584.734375;-29164.533203125
1633387;5604.734375;-29164.533203125
1633388;5624.734375;-29164.533203125
1633389;5644.734375;-29164.533203125
1633390;5664.734375;-29164.533203125
1633391;5684.734375;-29164.533203125
1633392;5704.734375;-29164.533203125
1633393;5724.734375;-29164.533203125
1633394;5744.734375;-29164.533203125
1633395;5764.734375;-29164.533203125
1633396;5784.734375;-29164.533203125
1633397;5804.734375;-29164.533203125
1633398;5824.734375;-29164.533203125
1633399;5844.734375;-29164.533203125
1633400;5864.734375;-29164.533203125
1633401;5884.734375;-29164.533203125
1633402;5904.734375;-29164.533203125
1633403;5924.734375;-29164.533203125
1633404;5944.734375;-29164.533203125
1633405;5964.734375;-29164.533203125
1633406;5984.734375;-29164.533203125
1633407;6004.734375;-29164.533203125
1633408;6024.734375;-29164.533203125
1633409;6044.734375;-29164.533203125
1633410;4064.7341308594;-29184.533203125
1633411;4084.7341308594;-29184.533203125
1633412;4104.734375;-29184.533203125
1633413;4124.734375;-29184.533203125
1633414;4144.734375;-29184.533203125
1633415;4164.734375;-29184.533203125
1633416;4184.734375;-29184.533203125
1633417;4204.734375;-29184.533203125
1633418;4224.734375;-29184.533203125
1633419;4244.734375;-29184.533203125
1633420;4264.734375;-29184.533203125
1633421;4284.734375;-29184.533203125
1633422;4304.734375;-29184.533203125
1633423;4324.734375;-29184.533203125
1633424;4344.734375;-29184.533203125
1633425;4364.734375;-29184.533203125
1633426;4384.734375;-29184.533203125
1633427;4404.734375;-29184.533203125
1633428;4424.734375;-29184.533203125
1633429;4444.734375;-29184.533203125
1633430;4464.734375;-29184.533203125
1633431;4484.734375;-29184.533203125
1633432;4504.734375;-29184.533203125
1633433;4524.734375;-29184.533203125
1633434;4544.734375;-29184.533203125
1633435;5124.734375;-29184.533203125
1633436;5144.734375;-29184.533203125
1633437;5164.734375;-29184.533203125
1633438;5184.734375;-29184.533203125
1633439;5204.734375;-29184.533203125
1633440;5224.734375;-29184.533203125
1633441;5244.734375;-29184.533203125
1633442;5264.734375;-29184.533203125
1633443;5284.734375;-29184.533203125
1633444;5304.734375;-29184.533203125
1633445;5324.734375;-29184.533203125
1633446;5344.734375;-29184.533203125
1633447;5364.734375;-29184.533203125
1633448;5384.734375;-29184.533203125
1633449;5404.734375;-29184.533203125
1633450;5424.734375;-29184.533203125
1633451;5444.734375;-29184.533203125
1633452;5464.734375;-29184.533203125
1633453;5484.734375;-29184.533203125
1633454;5504.734375;-29184.533203125
1633455;5524.734375;-29184.533203125
1633456;5544.734375;-29184.533203125
1633457;5564.734375;-29184.533203125
1633458;5584.734375;-29184.533203125
1633459;5604.734375;-29184.533203125
1633460;5624.734375;-29184.533203125
1633461;5644.734375;-29184.533203125
1633462;5664.734375;-29184.533203125
1633463;5684.734375;-29184.533203125
1633464;5704.734375;-29184.533203125
1633465;5724.734375;-29184.533203125
1633466;5744.734375;-29184.533203125
1633467;5764.734375;-29184.533203125
1633468;5784.734375;-29184.533203125
1633469;5804.734375;-29184.533203125
1633470;5824.734375;-29184.533203125
1633471;5844.734375;-29184.533203125
1633472;5864.734375;-29184.533203125
1633473;5884.734375;-29184.533203125
1633474;5904.734375;-29184.533203125
1633475;5924.734375;-29184.533203125
1633476;5944.734375;-29184.533203125
1633477;5964.734375;-29184.533203125
1633478;5984.734375;-29184.533203125
1633479;6004.734375;-29184.533203125
1633480;6024.734375;-29184.533203125
1633481;6044.734375;-29184.533203125
1633482;4004.7341308594;-29204.533203125
1633483;4024.7341308594;-29204.533203125
1633484;4044.7341308594;-29204.533203125
1633485;4064.7341308594;-29204.533203125
1633486;4084.7341308594;-29204.533203125
1633487;4104.734375;-29204.533203125
1633488;4124.734375;-29204.533203125
1633489;4144.734375;-29204.533203125
1633490;4164.734375;-29204.533203125
1633491;4184.734375;-29204.533203125
1633492;4204.734375;-29204.533203125
1633493;4224.734375;-29204.533203125
1633494;4244.734375;-29204.533203125
1633495;4264.734375;-29204.533203125
1633496;4284.734375;-29204.533203125
1633497;4304.734375;-29204.533203125
1633498;4324.734375;-29204.533203125
1633499;4344.734375;-29204.533203125
1633500;4364.734375;-29204.533203125
1633501;4384.734375;-29204.533203125
1633502;4404.734375;-29204.533203125
1633503;4424.734375;-29204.533203125
1633504;4444.734375;-29204.533203125
1633505;4464.734375;-29204.533203125
1633506;4484.734375;-29204.533203125
1633507;4504.734375;-29204.533203125
1633508;4524.734375;-29204.533203125
1633509;4544.734375;-29204.533203125
1633510;4564.734375;-29204.533203125
1633511;4584.734375;-29204.533203125
1633512;4604.734375;-29204.533203125
1633513;4624.734375;-29204.533203125
1633514;4644.734375;-29204.533203125
1633515;4664.734375;-29204.533203125
1633516;5084.734375;-29204.533203125
1633517;5104.734375;-29204.533203125
1633518;5124.734375;-29204.533203125
1633519;5144.734375;-29204.533203125
1633520;5164.734375;-29204.533203125
1633521;5184.734375;-29204.533203125
1633522;5204.734375;-29204.533203125
1633523;5224.734375;-29204.533203125
1633524;5244.734375;-29204.533203125
1633525;5264.734375;-29204.533203125
1633526;5284.734375;-29204.533203125
1633527;5304.734375;-29204.533203125
1633528;5324.734375;-29204.533203125
1633529;5344.734375;-29204.533203125
1633530;5364.734375;-29204.533203125
1633531;5384.734375;-29204.533203125
1633532;5404.734375;-29204.533203125
1633533;5424.734375;-29204.533203125
1633534;5444.734375;-29204.533203125
1633535;5464.734375;-29204.533203125
1633536;5484.734375;-29204.533203125
1633537;5504.734375;-29204.533203125
1633538;5524.734375;-29204.533203125
1633539;5544.734375;-29204.533203125
1633540;5564.734375;-29204.533203125
1633541;5584.734375;-29204.533203125
1633542;5604.734375;-29204.533203125
1633543;5624.734375;-29204.533203125
1633544;5644.734375;-29204.533203125
1633545;5664.734375;-29204.533203125
1633546;5684.734375;-29204.533203125
1633547;5704.734375;-29204.533203125
1633548;5724.734375;-29204.533203125
1633549;5744.734375;-29204.533203125
1633550;5764.734375;-29204.533203125
1633551;5784.734375;-29204.533203125
1633552;5804.734375;-29204.533203125
1633553;5824.734375;-29204.533203125
1633554;5844.734375;-29204.533203125
1633555;5864.734375;-29204.533203125
1633556;5884.734375;-29204.533203125
1633557;5904.734375;-29204.533203125
1633558;5924.734375;-29204.533203125
1633559;5944.734375;-29204.533203125
1633560;5964.734375;-29204.533203125
1633561;5984.734375;-29204.533203125
1633562;6004.734375;-29204.533203125
1633563;6024.734375;-29204.533203125
1633564;6044.734375;-29204.533203125
1633565;6064.734375;-29204.533203125
1633566;3944.7341308594;-29224.533203125
1633567;3964.7341308594;-29224.533203125
1633568;3984.7341308594;-29224.533203125
1633569;4004.7341308594;-29224.533203125
1633570;4024.7341308594;-29224.533203125
1633571;4044.7341308594;-29224.533203125
1633572;4064.7341308594;-29224.533203125
1633573;4084.7341308594;-29224.533203125
1633574;4104.734375;-29224.533203125
1633575;4124.734375;-29224.533203125
1633576;4144.734375;-29224.533203125
1633577;4164.734375;-29224.533203125
1633578;4184.734375;-29224.533203125
1633579;4204.734375;-29224.533203125
1633580;4224.734375;-29224.533203125
1633581;4244.734375;-29224.533203125
1633582;4264.734375;-29224.533203125
1633583;4284.734375;-29224.533203125
1633584;4304.734375;-29224.533203125
1633585;4324.734375;-29224.533203125
1633586;4344.734375;-29224.533203125
1633587;4364.734375;-29224.533203125
1633588;4384.734375;-29224.533203125
1633589;4404.734375;-29224.533203125
1633590;4424.734375;-29224.533203125
1633591;4444.734375;-29224.533203125
1633592;4464.734375;-29224.533203125
1633593;4484.734375;-29224.533203125
1633594;4504.734375;-29224.533203125
1633595;4524.734375;-29224.533203125
1633596;4544.734375;-29224.533203125
1633597;4564.734375;-29224.533203125
1633598;4584.734375;-29224.533203125
1633599;4604.734375;-29224.533203125
1633600;4624.734375;-29224.533203125
1633601;4644.734375;-29224.533203125
1633602;4664.734375;-29224.533203125
1633603;4684.734375;-29224.533203125
1633604;4704.734375;-29224.533203125
1633605;4724.734375;-29224.533203125
1633606;4744.734375;-29224.533203125
1633607;4764.734375;-29224.533203125
1633608;4784.734375;-29224.533203125
1633609;4804.734375;-29224.533203125
1633610;4824.734375;-29224.533203125
1633611;4844.734375;-29224.533203125
1633612;4864.734375;-29224.533203125
1633613;4884.734375;-29224.533203125
1633614;5044.734375;-29224.533203125
1633615;5064.734375;-29224.533203125
1633616;5084.734375;-29224.533203125
1633617;5104.734375;-29224.533203125
1633618;5124.734375;-29224.533203125
1633619;5144.734375;-29224.533203125
1633620;5164.734375;-29224.533203125
1633621;5184.734375;-29224.533203125
1633622;5204.734375;-29224.533203125
1633623;5224.734375;-29224.533203125
1633624;5244.734375;-29224.533203125
1633625;5264.734375;-29224.533203125
1633626;5284.734375;-29224.533203125
1633627;5304.734375;-29224.533203125
1633628;5324.734375;-29224.533203125
1633629;5344.734375;-29224.533203125
1633630;5364.734375;-29224.533203125
1633631;5384.734375;-29224.533203125
1633632;5404.734375;-29224.533203125
1633633;5424.734375;-29224.533203125
1633634;5444.734375;-29224.533203125
1633635;5464.734375;-29224.533203125
1633636;5484.734375;-29224.533203125
1633637;5504.734375;-29224.533203125
1633638;5524.734375;-29224.533203125
1633639;5544.734375;-29224.533203125
1633640;5564.734375;-29224.533203125
1633641;5584.734375;-29224.533203125
1633642;5604.734375;-29224.533203125
1633643;5624.734375;-29224.533203125
1633644;5644.734375;-29224.533203125
1633645;5664.734375;-29224.533203125
1633646;5684.734375;-29224.533203125
1633647;5704.734375;-29224.533203125
1633648;5724.734375;-29224.533203125
1633649;5744.734375;-29224.533203125
1633650;5764.734375;-29224.533203125
1633651;5784.734375;-29224.533203125
1633652;5804.734375;-29224.533203125
1633653;5824.734375;-29224.533203125
1633654;5844.734375;-29224.533203125
1633655;5864.734375;-29224.533203125
1633656;5884.734375;-29224.533203125
1633657;5904.734375;-29224.533203125
1633658;5924.734375;-29224.533203125
1633659;5944.734375;-29224.533203125
1633660;5964.734375;-29224.533203125
1633661;5984.734375;-29224.533203125
1633662;6004.734375;-29224.533203125
1633663;6024.734375;-29224.533203125
1633664;6044.734375;-29224.533203125
1633665;6064.734375;-29224.533203125
1633666;3904.7341308594;-29244.533203125
1633667;3924.7341308594;-29244.533203125
1633668;3944.7341308594;-29244.533203125
1633669;3964.7341308594;-29244.533203125
1633670;3984.7341308594;-29244.533203125
1633671;4004.7341308594;-29244.533203125
1633672;4024.7341308594;-29244.533203125
1633673;4044.7341308594;-29244.533203125
1633674;4064.7341308594;-29244.533203125
1633675;4084.7341308594;-29244.533203125
1633676;4104.734375;-29244.533203125
1633677;4124.734375;-29244.533203125
1633678;4144.734375;-29244.533203125
1633679;4164.734375;-29244.533203125
1633680;4184.734375;-29244.533203125
1633681;4204.734375;-29244.533203125
1633682;4224.734375;-29244.533203125
1633683;4244.734375;-29244.533203125
1633684;4264.734375;-29244.533203125
1633685;4284.734375;-29244.533203125
1633686;4304.734375;-29244.533203125
1633687;4324.734375;-29244.533203125
1633688;4344.734375;-29244.533203125
1633689;4364.734375;-29244.533203125
1633690;4384.734375;-29244.533203125
1633691;4404.734375;-29244.533203125
1633692;4424.734375;-29244.533203125
1633693;4444.734375;-29244.533203125
1633694;4464.734375;-29244.533203125
1633695;4484.734375;-29244.533203125
1633696;4504.734375;-29244.533203125
1633697;4524.734375;-29244.533203125
1633698;4544.734375;-29244.533203125
1633699;4564.734375;-29244.533203125
1633700;4584.734375;-29244.533203125
1633701;4604.734375;-29244.533203125
1633702;4624.734375;-29244.533203125
1633703;4644.734375;-29244.533203125
1633704;4664.734375;-29244.533203125
1633705;4684.734375;-29244.533203125
1633706;4704.734375;-29244.533203125
1633707;4724.734375;-29244.533203125
1633708;4744.734375;-29244.533203125
1633709;4764.734375;-29244.533203125
1633710;4784.734375;-29244.533203125
1633711;4804.734375;-29244.533203125
1633712;4824.734375;-29244.533203125
1633713;4844.734375;-29244.533203125
1633714;4864.734375;-29244.533203125
1633715;4884.734375;-29244.533203125
1633716;4904.734375;-29244.533203125
1633717;4924.734375;-29244.533203125
1633718;4944.734375;-29244.533203125
1633719;4964.734375;-29244.533203125
1633720;4984.734375;-29244.533203125
1633721;5004.734375;-29244.533203125
1633722;5024.734375;-29244.533203125
1633723;5044.734375;-29244.533203125
1633724;5064.734375;-29244.533203125
1633725;5084.734375;-29244.533203125
1633726;5104.734375;-29244.533203125
1633727;5124.734375;-29244.533203125
1633728;5144.734375;-29244.533203125
1633729;5164.734375;-29244.533203125
1633730;5184.734375;-29244.533203125
1633731;5204.734375;-29244.533203125
1633732;5224.734375;-29244.533203125
1633733;5244.734375;-29244.533203125
1633734;5264.734375;-29244.533203125
1633735;5284.734375;-29244.533203125
1633736;5304.734375;-29244.533203125
1633737;5324.734375;-29244.533203125
1633738;5344.734375;-29244.533203125
1633739;5364.734375;-29244.533203125
1633740;5384.734375;-29244.533203125
1633741;5404.734375;-29244.533203125
1633742;5424.734375;-29244.533203125
1633743;5444.734375;-29244.533203125
1633744;5464.734375;-29244.533203125
1633745;5484.734375;-29244.533203125
1633746;5504.734375;-29244.533203125
1633747;5524.734375;-29244.533203125
1633748;5544.734375;-29244.533203125
1633749;5564.734375;-29244.533203125
1633750;5584.734375;-29244.533203125
1633751;5604.734375;-29244.533203125
1633752;5624.734375;-29244.533203125
1633753;5644.734375;-29244.533203125
1633754;5664.734375;-29244.533203125
1633755;5684.734375;-29244.533203125
1633756;5704.734375;-29244.533203125
1633757;5724.734375;-29244.533203125
1633758;5744.734375;-29244.533203125
1633759;5764.734375;-29244.533203125
1633760;5784.734375;-29244.533203125
1633761;5804.734375;-29244.533203125
1633762;5824.734375;-29244.533203125
1633763;5844.734375;-29244.533203125
1633764;5864.734375;-29244.533203125
1633765;5884.734375;-29244.533203125
1633766;5904.734375;-29244.533203125
1633767;5924.734375;-29244.533203125
1633768;5944.734375;-29244.533203125
1633769;5964.734375;-29244.533203125
1633770;5984.734375;-29244.533203125
1633771;6004.734375;-29244.533203125
1633772;6024.734375;-29244.533203125
1633773;6044.734375;-29244.533203125
1633774;6064.734375;-29244.533203125
1633775;3844.7341308594;-29264.533203125
1633776;3864.7341308594;-29264.533203125
1633777;3884.7341308594;-29264.533203125
1633778;3904.7341308594;-29264.533203125
1633779;3924.7341308594;-29264.533203125
1633780;3944.7341308594;-29264.533203125
1633781;3964.7341308594;-29264.533203125
1633782;3984.7341308594;-29264.533203125
1633783;4004.7341308594;-29264.533203125
1633784;4024.7341308594;-29264.533203125
1633785;4044.7341308594;-29264.533203125
1633786;4064.7341308594;-29264.533203125
1633787;4084.7341308594;-29264.533203125
1633788;4104.734375;-29264.533203125
1633789;4124.734375;-29264.533203125
1633790;4144.734375;-29264.533203125
1633791;4164.734375;-29264.533203125
1633792;4184.734375;-29264.533203125
1633793;4204.734375;-29264.533203125
1633794;4224.734375;-29264.533203125
1633795;4244.734375;-29264.533203125
1633796;4264.734375;-29264.533203125
1633797;4284.734375;-29264.533203125
1633798;4304.734375;-29264.533203125
1633799;4324.734375;-29264.533203125
1633800;4344.734375;-29264.533203125
1633801;4364.734375;-29264.533203125
1633802;4384.734375;-29264.533203125
1633803;4404.734375;-29264.533203125
1633804;4424.734375;-29264.533203125
1633805;4444.734375;-29264.533203125
1633806;4464.734375;-29264.533203125
1633807;4484.734375;-29264.533203125
1633808;4504.734375;-29264.533203125
1633809;4524.734375;-29264.533203125
1633810;4544.734375;-29264.533203125
1633811;4564.734375;-29264.533203125
1633812;4584.734375;-29264.533203125
1633813;4604.734375;-29264.533203125
1633814;4624.734375;-29264.533203125
1633815;4644.734375;-29264.533203125
